Poster_Link;Series_Title;Runtime_of_Series;Certificate;Runtime_of_Episodes;Genre;IMDB_Rating;Overview;Star1;Star2;Star3;Star4;No_of_Votes
https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR2,0,67,98_AL_.jpg;Game of Thrones;(2011–2019);A;57 min;Adventure;9,3;Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.;Emilia Clarke;Peter Dinklage;Kit Harington;Lena Headey;1773458
https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg;Breaking Bad;(2008–2013);18;49 min;Drama;9,5;A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.;Bryan Cranston;Aaron Paul;Anna Gunn;Betsy Brandt;1468887
https://m.media-amazon.com/images/M/MV5BMTc5ZmM0OTQtNDY4MS00ZjMyLTgwYzgtOGY0Y2VlMWFmNDU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg;The Walking Dead;(2010– );18+;44 min;Thriller;8,2;Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.;Andrew Lincoln;Norman Reedus;Melissa McBride;Danai Gurira;854698
https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg;Friends;(1994–2004);13+;22 min;Romance;8,9;Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.;Jennifer Aniston;Courteney Cox;Lisa Kudrow;Matt LeBlanc;829816
https://m.media-amazon.com/images/M/MV5BMjEzMDAxOTUyMV5BMl5BanBnXkFtZTgwNzAxMzYzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg;Stranger Things;(2016– );15;51 min;Fantasy;8,7;When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.;Millie Bobby Brown;Finn Wolfhard;Winona Ryder;David Harbour;824966
https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX67_CR0,0,67,98_AL_.jpg;Sherlock;(2010–2017);UA;88 min;Crime;9,1;A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.;Benedict Cumberbatch;Martin Freeman;Una Stubbs;Rupert Graves;808717
